timestamp,temperature,humidity,wind_speed,wind_direction,pressure,hour,day,month,temperature_change,humidity_change,pressure_change,wind_speed_change,temperature_rolling_mean,temperature_rolling_std,humidity_rolling_mean,pressure_rolling_mean,temperature_deviation,humidity_deviation,pressure_deviation
2012-01-01 01:00:00,-1.37,54.99,11.34,232.24,976.0,1.0,1.0,1.0,,,,,,,,,,,
2012-01-01 02:00:00,-1.19,53.36,10.87,236.04,975.81,2.0,1.0,1.0,0.18000000000000016,-1.6300000000000026,-0.19000000000005457,-0.47000000000000064,,,,,,,
2012-01-01 03:00:00,-0.56,48.94,11.76,240.23,975.0,3.0,1.0,1.0,0.6299999999999999,-4.420000000000002,-0.8099999999999454,0.8900000000000006,,,,,,,
2012-01-01 04:00:00,-1.02,53.36,13.07,234.68,975.0,4.0,1.0,1.0,-0.45999999999999996,4.420000000000002,0.0,1.3100000000000005,,,,,,,
2012-01-01 05:00:00,-1.19,53.75,14.32,231.56,975.0,5.0,1.0,1.0,-0.16999999999999993,0.39000000000000057,0.0,1.25,,,,,,,
2012-01-01 06:00:00,-0.57,51.03,13.85,234.64,974.87,6.0,1.0,1.0,0.62,-2.719999999999999,-0.12999999999999545,-0.47000000000000064,-0.9833333333333334,0.34244220923634205,52.571666666666665,975.2800000000001,0.41333333333333344,-1.5416666666666643,-0.41000000000008185
2012-01-01 07:00:00,-0.33,51.59,13.65,236.77,974.0,7.0,1.0,1.0,0.23999999999999994,0.5600000000000023,-0.8700000000000045,-0.1999999999999993,-0.81,0.3697025831665232,52.004999999999995,974.9466666666667,0.48000000000000004,-0.41499999999999204,-0.9466666666667152
2012-01-01 08:00:00,-0.07,52.77,12.9,235.86,974.0,8.0,1.0,1.0,0.26,1.1799999999999997,0.0,-0.75,-0.6233333333333334,0.41893515806944004,51.906666666666666,974.6450000000001,0.5533333333333335,0.8633333333333368,-0.6450000000000955
2012-01-01 09:00:00,0.3,50.73,12.56,235.05,974.0,9.0,1.0,1.0,0.37,-2.0400000000000063,0.0,-0.33999999999999986,-0.48,0.5661801833338924,52.20499999999999,974.4783333333335,0.78,-1.4749999999999943,-0.4783333333334667
2012-01-01 10:00:00,0.74,51.18,12.6,232.95,973.15,10.0,1.0,1.0,0.44,0.45000000000000284,-0.8500000000000227,0.03999999999999915,-0.18666666666666665,0.6757711644237765,51.84166666666667,974.1700000000001,0.9266666666666666,-0.6616666666666688,-1.0200000000000955
2012-01-01 11:00:00,1.24,48.97,12.97,236.37,973.0,11.0,1.0,1.0,0.5,-2.210000000000001,-0.14999999999997726,0.370000000000001,0.21833333333333335,0.6823317863522607,51.04500000000001,973.8366666666667,1.0216666666666667,-2.07500000000001,-0.8366666666667015
2012-01-01 12:00:00,1.66,50.95,11.37,236.97,972.23,12.0,1.0,1.0,0.41999999999999993,1.980000000000004,-0.7699999999999818,-1.6000000000000014,0.59,0.7688953114696437,51.031666666666666,973.3966666666665,1.0699999999999998,-0.08166666666666345,-1.166666666666515
