timestamp,temperature,humidity,wind_speed,wind_direction,pressure
2026-08-27 10:51:54,34.23,67.86,1.01,219.9,
2026-08-27 10:52:57,34.1,68.17,1.23,220,
2026-08-27 10:53:58,34.02,68.24,1.24,210.5,
2026-08-27 10:55:00,34.02,68.73,0.37,159.5,
2026-08-27 10:56:01,34.08,68.37,0.52,171,
2026-08-27 10:57:02,34.16,68.37,0.46,175.3,
2026-08-27 10:58:04,34.25,67.08,1.4,228.3,
2026-08-27 10:59:05,34.27,67.05,0.8,224.6,
2026-08-27 11:00:06,34.32,67.8,0.2,333.1,
2026-08-27 11:01:08,34.43,68.24,0.43,152.2,
2026-08-27 11:02:10,34.6,68.16,0.72,226.8,
2026-08-27 11:03:12,34.67,67.73,1.13,215.9,
2026-08-27 11:04:13,34.71,66.89,0.62,228,
2026-08-27 11:05:14,34.82,67.37,0.73,221.2,
